Give Birth,Can Fly,Live in Water,Have Legs,Class
yes,no,no,yes,mammals
no,no,no,no,non-mammals
no,no,yes,no,non-mammals
yes,no,yes,no,mammals
no,no,sometimes,yes,non-mammals
no,no,no,yes,non-mammals
yes,yes,no,yes,mammals
no,yes,no,yes,non-mammals
yes,no,no,yes,mammals
yes,no,yes,no,non-mammals
no,no,sometimes,yes,non-mammals
no,no,sometimes,yes,non-mammals
yes,no,no,yes,mammals
no,no,yes,no,non-mammals
no,no,sometimes,yes,non-mammals
no,no,no,yes,non-mammals
no,no,no,yes,mammals
no,yes,no,yes,non-mammals
yes,no,yes,no,mammals
no,yes,no,yes,non-mammals
